text,label,category,source
"Simple online job: Watch videos and earn $50,000 daily. Register here: http://bit.ly/claim-reward-now",1,Job & Task Scam,synthetic_scam
Your monthly electric bill of $171.50 has been paid via automatic debit.,0,Legitimate Message,synthetic_ham
Your Amazon package with order #112-9847192 has been delivered to your front porch. View delivery photo in the app.,0,Legitimate Message,curated_ham
Reminder: Doctor appointment with Dr. Smith on Friday at 2:00 PM.,0,Legitimate Message,synthetic_ham
USPS Notice: Delivery rescheduled. View package status here: http://bit.ly/claim-reward-now,1,Delivery & Package Scam,synthetic_scam
"Police Dept: Case filed against you for unpaid penalty of $2,500. Contact +1-800-555-0144.",1,Threat & Impersonation Scam,synthetic_scam
Your order from Amazon has shipped! Estimated delivery: Friday. Track in app.,0,Legitimate Message,synthetic_ham
"Hey Michael, are we still on for coffee at 12:30 PM?",0,Legitimate Message,synthetic_ham
"Hi team, meeting notes from today's Backend Refactoring sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
"USPS: Your package delivery failed. Confirm address & pay $50,000 fee at http://support-unlock-portal.net",1,Delivery & Package Scam,synthetic_scam
"Guaranteed daily profit of $10,000 with AI crypto trader. Sign up free: http://tinyurl.com/fast-payout-2026",1,Crypto & Investment Fraud,synthetic_scam
Your verification code for Netflix is 196191. Valid for 5 minutes. Do not share with anyone.,0,Legitimate Message,synthetic_ham
Your Google subscription has expired. Update billing details at http://auth-kyc-desk.online/update to keep access.,1,Phishing & Account Security,synthetic_scam
Security Notice: HDFC detected suspicious activity. Confirm your login at http://support-unlock-portal.net,1,Banking / KYC Fraud,synthetic_scam
Your order from Nike has shipped! Estimated delivery: Wednesday. Track in app.,0,Legitimate Message,synthetic_ham
Your order from Sephora has shipped! Estimated delivery: Tuesday. Track in app.,0,Legitimate Message,synthetic_ham
Simple online job: Watch videos and earn $500 daily. Register here: http://support-unlock-portal.net,1,Job & Task Scam,synthetic_scam
Your order from Sephora has shipped! Estimated delivery: Monday. Track in app.,0,Legitimate Message,synthetic_ham
"Congratulations! You won $10,000 in Annual Customer Reward. Claim your prize at http://secure-verify-account.xyz/login",1,Lottery & Prize Scam,synthetic_scam
"Hi Emily, I left the meeting notes on your desk. Let me know if you need anything else.",0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Brown on tomorrow at 10:00 AM.,0,Legitimate Message,synthetic_ham
"Police Dept: Case filed against you for unpaid penalty of $50,000. Contact +91-9876543210.",1,Threat & Impersonation Scam,synthetic_scam
"Guaranteed daily profit of $10,000 with AI crypto trader. Sign up free: http://tracking-reschedule-post.top",1,Crypto & Investment Fraud,synthetic_scam
"Hi team, meeting notes from today's Backend Refactoring sync are uploaded to Drive.",0,Legitimate Message,synthetic_ham
Reminder: Doctor appointment with Dr. Garcia on Tuesday at 2:00 PM.,0,Legitimate Message,synthetic_ham
Your Facebook subscription has expired. Update billing details at http://tinyurl.com/fast-payout-2026 to keep access.,1,Phishing & Account Security,synthetic_scam
You have unclaimed rewards of $250. Withdraw to your account at http://bit.ly/claim-reward-now,1,Lottery & Prize Scam,synthetic_scam
UPS Notice: Delivery rescheduled. View package status here: http://auth-kyc-desk.online/update,1,Delivery & Package Scam,synthetic_scam
